1,Aachman ,9874561122,varanasi,abc@gmail.com,221002,sharma,27-08-2019
2,Aadesh ,9874561122,varanasi,abc@gmail.com,221002,sharma,28-08-2019
3,Aadi,9874561122,varanasi,abc@gmail.com,221002,sharma,29-08-2019
4,Aafreen ,9874561122,varanasi,abc@gmail.com,221002,sharma,30-08-2019
5,Aakar ,9874561122,varanasi,abc@gmail.com,221002,sharma,31-08-2019
6,Aakash ,9874561122,varanasi,abc@gmail.com,221002,sharma,01-09-2019
7,Aalap ,9874561122,varanasi,abc@gmail.com,221002,sharma,02-09-2019
8,Aandaleeb ,9874561122,varanasi,abc@gmail.com,221002,sharma,03-09-2019
9,Aashish ,9874561122,varanasi,abc@gmail.com,221002,sharma,04-09-2019
10,Abeer ,9874561122,varanasi,abc@gmail.com,221002,sharma,05-09-2019
11,Abhay,9874561122,varanasi,abc@gmail.com,221002,sharma,06-09-2019
12,Abhayananda ,9874561122,varanasi,abc@gmail.com,221002,sharma,07-09-2019
13,Abhayaprada ,9874561122,varanasi,abc@gmail.com,221002,sharma,08-09-2019
14,Abheek ,9874561122,varanasi,abc@gmail.com,221002,sharma,09-09-2019
15,Abhi ,9874561122,varanasi,abc@gmail.com,221002,sharma,10-09-2019
16,Abhibhava ,9874561122,varanasi,abc@gmail.com,221002,sharma,11-09-2019
17,Abhicandra ,9874561122,varanasi,abc@gmail.com,221002,sharma,12-09-2019
18,Abhidi ,9874561122,varanasi,abc@gmail.com,221002,sharma,13-09-2019
19,Abhihita ,9874561122,varanasi,abc@gmail.com,221002,sharma,14-09-2019
20,Abhijat,9874561122,varanasi,abc@gmail.com,221002,sharma,15-09-2019
21,Abhijaya ,9874561122,varanasi,abc@gmail.com,221002,sharma,16-09-2019
22,Abhijit,9874561122,varanasi,abc@gmail.com,221002,sharma,17-09-2019
23,Abhijvala ,9874561122,varanasi,abc@gmail.com,221002,sharma,18-09-2019
24,Abhilash ,9874561122,varanasi,abc@gmail.com,221002,sharma,19-09-2019
25,Abhimand ,9874561122,varanasi,abc@gmail.com,221002,sharma,20-09-2019
26,Abhimani ,9874561122,varanasi,abc@gmail.com,221002,sharma,21-09-2019
27,Abhimanyu ,9874561122,varanasi,abc@gmail.com,221002,sharma,22-09-2019
28,Abhimanyusuta ,9874561122,varanasi,abc@gmail.com,221002,sharma,23-09-2019
29,Abhimoda ,9874561122,varanasi,abc@gmail.com,221002,sharma,24-09-2019
30,Abhinabhas ,9874561122,varanasi,abc@gmail.com,221002,sharma,25-09-2019
31,Abhinanda ,9874561122,varanasi,abc@gmail.com,221002,sharma,26-09-2019
32,Abhinandana,9874561122,varanasi,abc@gmail.com,221002,sharma,27-09-2019
33,Abhinatha,9874561122,varanasi,abc@gmail.com,221002,sharma,28-09-2019
34,Abhinav,9874561122,varanasi,abc@gmail.com,221002,sharma,29-09-2019
35,Abhinava ,9874561122,varanasi,abc@gmail.com,221002,sharma,30-09-2019
36,Abhirup ,9874561122,varanasi,abc@gmail.com,221002,sharma,01-10-2019
37,Abhishek,9874561122,varanasi,abc@gmail.com,221002,sharma,02-10-2019
38,Abhisoka ,9874561122,varanasi,abc@gmail.com,221002,sharma,03-10-2019
39,Abhisumat ,9874561122,varanasi,abc@gmail.com,221002,sharma,04-10-2019
40,Abhisyanta ,9874561122,varanasi,abc@gmail.com,221002,sharma,05-10-2019
41,Abhivira ,9874561122,varanasi,abc@gmail.com,221002,sharma,06-10-2019
42,Abhra ,9874561122,varanasi,abc@gmail.com,221002,sharma,07-10-2019
43,Abhrakasin ,9874561122,varanasi,abc@gmail.com,221002,sharma,08-10-2019
44,Abhyagni ,9874561122,varanasi,abc@gmail.com,221002,sharma,09-10-2019
45,Abhyudaya ,9874561122,varanasi,abc@gmail.com,221002,sharma,10-10-2019
46,Abhyudita ,9874561122,varanasi,abc@gmail.com,221002,sharma,11-10-2019
47,Abjayoni ,9874561122,varanasi,abc@gmail.com,221002,sharma,12-10-2019
48,Abjit ,9874561122,varanasi,abc@gmail.com,221002,sharma,13-10-2019
49,Acalapati ,9874561122,varanasi,abc@gmail.com,221002,sharma,14-10-2019
50,Acalendra ,9874561122,varanasi,abc@gmail.com,221002,sharma,15-10-2019
51,Acalesvara ,9874561122,varanasi,abc@gmail.com,221002,sharma,16-10-2019
52,Acanda ,9874561122,varanasi,abc@gmail.com,221002,sharma,17-10-2019
53,Acarya ,9874561122,varanasi,abc@gmail.com,221002,sharma,18-10-2019
54,Acaryanandana ,9874561122,varanasi,abc@gmail.com,221002,sharma,19-10-2019
55,Acaryasuta ,9874561122,varanasi,abc@gmail.com,221002,sharma,20-10-2019
56,Acaryatanaya ,9874561122,varanasi,abc@gmail.com,221002,sharma,21-10-2019
57,Acchindra ,9874561122,varanasi,abc@gmail.com,221002,sharma,22-10-2019
58,Achal ,9874561122,varanasi,abc@gmail.com,221002,sharma,23-10-2019
59,Achintya,9874561122,varanasi,abc@gmail.com,221002,sharma,24-10-2019
60,Achyut ,9874561122,varanasi,abc@gmail.com,221002,sharma,25-10-2019
61,Achyuta,9874561122,varanasi,abc@gmail.com,221002,sharma,26-10-2019
62,Acintya ,9874561122,varanasi,abc@gmail.com,221002,sharma,27-10-2019
63,Acyutaraya ,9874561122,varanasi,abc@gmail.com,221002,sharma,28-10-2019
64,Adalarasu ,9874561122,varanasi,abc@gmail.com,221002,sharma,29-10-2019
65,Adarsh ,9874561122,varanasi,abc@gmail.com,221002,sharma,30-10-2019
66,Adesh ,9874561122,varanasi,abc@gmail.com,221002,sharma,31-10-2019
67,Adhik ,9874561122,varanasi,abc@gmail.com,221002,sharma,01-11-2019
68,Adhikara ,9874561122,varanasi,abc@gmail.com,221002,sharma,02-11-2019
69,Adhipa ,9874561122,varanasi,abc@gmail.com,221002,sharma,03-11-2019
70,Adhita ,9874561122,varanasi,abc@gmail.com,221002,sharma,04-11-2019
71,Adikavi ,9874561122,varanasi,abc@gmail.com,221002,sharma,05-11-2019
72,Adil ,9874561122,varanasi,abc@gmail.com,221002,sharma,06-11-2019
73,Adinath ,9874561122,varanasi,abc@gmail.com,221002,sharma,07-11-2019
74,Adit ,9874561122,varanasi,abc@gmail.com,221002,sharma,08-11-2019
75,Aditeya ,9874561122,varanasi,abc@gmail.com,221002,sharma,09-11-2019
76,Aditya,9874561122,varanasi,abc@gmail.com,221002,sharma,10-11-2019
77,Adityanandana ,9874561122,varanasi,abc@gmail.com,221002,sharma,11-11-2019
78,Adityavardhana,9874561122,varanasi,abc@gmail.com,221002,sharma,12-11-2019
79,Adripathi ,9874561122,varanasi,abc@gmail.com,221002,sharma,13-11-2019
80,Adwaita ,9874561122,varanasi,abc@gmail.com,221002,sharma,14-11-2019
81,Adway ,9874561122,varanasi,abc@gmail.com,221002,sharma,15-11-2019
82,Adwaya ,9874561122,varanasi,abc@gmail.com,221002,sharma,16-11-2019
83,"Aftab,Aftaab ",9874561122,varanasi,abc@gmail.com,221002,sharma,17-11-2019
84,"Agasti, Agastya ",9874561122,varanasi,abc@gmail.com,221002,sharma,18-11-2019
85,Agendra ,9874561122,varanasi,abc@gmail.com,221002,sharma,19-11-2019
86,Agha ,9874561122,varanasi,abc@gmail.com,221002,sharma,20-11-2019
87,Agharna ,9874561122,varanasi,abc@gmail.com,221002,sharma,21-11-2019
88,Aghat ,9874561122,varanasi,abc@gmail.com,221002,sharma,22-11-2019
89,Agneya ,9874561122,varanasi,abc@gmail.com,221002,sharma,23-11-2019
90,Agnikumara ,9874561122,varanasi,abc@gmail.com,221002,sharma,24-11-2019
91,Agniprava ,9874561122,varanasi,abc@gmail.com,221002,sharma,25-11-2019
92,Agrim ,9874561122,varanasi,abc@gmail.com,221002,sharma,26-11-2019
93,Agriya ,9874561122,varanasi,abc@gmail.com,221002,sharma,27-11-2019
94,Ahijit ,9874561122,varanasi,abc@gmail.com,221002,sharma,28-11-2019
95,Ahilan ,9874561122,varanasi,abc@gmail.com,221002,sharma,29-11-2019
96,Ahmad ,9874561122,varanasi,abc@gmail.com,221002,sharma,30-11-2019
97,Ahsan ,9874561122,varanasi,abc@gmail.com,221002,sharma,01-12-2019
98,Aijaz ,9874561122,varanasi,abc@gmail.com,221002,sharma,02-12-2019
99,Aiman ,9874561122,varanasi,abc@gmail.com,221002,sharma,03-12-2019
